

Lista;V=10;gestosc=25
nr;BFS;DFS;Dijkstra;BellmanFord
100;73888;114580;198055;496415;



Macierz;V=50;gestosc=25
nr;BFS;DFS;Dijkstra;BellmanFord
1;51168;79305;139710;881302;
2;48501;81208;141517;881377;
3;48518;79823;140218;925950;
4;51703;128411;218781;1363029;
5;52584;81418;141689;881072;
6;55313;82589;144666;972897;
7;52149;83245;142572;919600;
8;52979;83039;196601;1146870;
9;60363;123780;195433;989292;
10;51129;82594;156367;887360;
11;49402;80317;139190;908878;
12;61917;82391;182345;1162385;
13;52557;81046;161302;963584;
14;114244;112719;156616;1013261;
15;56000;91669;158759;1021130;
16;64147;92107;160624;1009243;
17;54233;87787;155228;992452;
18;50497;83471;158977;900726;
19;53793;81980;142456;1088872;
20;56009;109642;145335;897211;
21;49753;79105;137642;889899;
22;48182;77238;139670;890823;
23;48497;80760;139051;902202;
24;56126;79078;139196;932703;
25;51249;92028;196907;1132194;
26;56000;147418;141509;934633;
27;53266;81452;139045;998093;
28;53975;80539;139807;885041;
29;48456;78088;139917;883505;
30;47729;78247;140708;894543;
31;49446;80057;139219;1032018;
32;55702;81055;139714;892887;
33;50096;77959;140234;884746;
34;47808;80586;139168;890311;
35;47971;78474;138500;871001;
36;92384;137048;226074;976303;
37;50499;78502;138231;892260;
38;48452;79091;139233;891768;
39;47700;78246;140134;897735;
40;48755;82471;145442;1092469;
41;51451;81449;140506;934487;
42;54470;124875;142467;883423;
43;49344;79498;137305;880794;
44;48542;83921;140127;1037571;
45;50593;80447;140155;894016;
46;48951;78809;139053;883004;
47;48293;79337;139944;884857;
48;48512;79130;142997;1137763;
49;54581;80399;139565;1008328;
50;50033;79843;139659;883559;
51;48410;79532;140085;885604;
52;48200;78419;139831;1033922;
53;55830;81010;140989;891598;
54;49322;80204;137733;879484;
55;48309;79213;167580;903878;
56;49417;80562;138236;943720;
57;56002;79730;138928;880838;
58;48656;80899;173514;892259;
59;51584;82072;143444;884394;
60;48329;80321;139764;907192;
61;56048;80753;138343;881581;
62;48945;82237;162612;890085;
63;49536;80188;139239;884549;
64;47572;78706;138810;891111;
65;55639;81831;141816;890164;
66;48757;78494;138223;879673;
67;48871;79626;140474;900385;
68;55114;83528;139432;883903;
69;50915;175473;252600;903757;
70;49561;81773;139031;898937;
71;50708;80877;149110;890886;
72;56756;80926;146862;886738;
73;66522;80598;203175;1133498;
74;54494;82548;141394;885889;
75;52920;83542;141647;905473;
76;56243;80564;140535;991746;
77;105453;137581;162558;912587;
78;52282;84226;143248;946686;
79;55216;87053;151406;1048348;
80;59477;90021;158164;1032152;
81;65898;89379;160115;1002074;
82;56065;91629;157289;1016420;
83;67152;89289;153625;999112;
84;52247;81563;147464;1217545;
85;51919;81074;138823;883720;
86;55304;94561;297464;886878;
87;50555;78727;140706;873730;
88;48664;78728;176997;1037898;
89;52719;80757;137544;880262;
90;48673;79970;138608;876924;
91;53639;81964;141705;921686;
92;53742;80846;141690;906817;
93;56283;83440;140577;920942;
94;49782;80224;139958;889890;
95;49091;77850;139677;892205;
96;48992;79965;139333;872229;
97;56919;79840;141111;886230;
98;49052;80134;140493;890505;
99;48638;81035;137922;889369;
100;48840;80293;139169;886710;



Lista;V=50;gestosc=50
nr;BFS;DFS;Dijkstra;BellmanFord
1;51868;119618;131159;533334;
2;48146;118863;130530;527936;
3;43696;118034;131360;518230;
4;51244;119985;129218;522321;
5;52519;117452;129848;517261;
6;48838;117677;132044;526466;
7;53414;117834;132540;518614;
8;43724;118938;129790;523088;
9;43129;116504;129985;517604;
10;47451;138435;201076;637871;
11;45859;117997;131195;519753;
12;46524;115758;133669;521742;
13;43704;118548;137372;632866;
14;49300;118727;130640;517055;
15;43896;116861;129745;516961;
16;53743;119351;134230;531667;
17;56398;118448;160884;528128;
18;45580;117782;130096;516507;
19;48864;119076;131529;520351;
20;53454;119196;130683;518503;
21;45184;117008;153504;528203;
22;45211;117001;131907;521843;
23;51202;118835;132768;522467;
24;43480;117584;134195;518497;
25;43301;116331;133054;522550;
26;44002;117494;128957;518204;
27;42674;117596;131607;517379;
28;42459;118399;131960;517847;
29;42258;117120;133743;781747;
30;50345;119432;131811;519193;
31;43422;120064;131829;517311;
32;43547;124830;132331;526117;
33;54470;119957;131757;537690;
34;44291;119638;131145;516909;
35;43570;114929;129268;517384;
36;43980;114953;129006;516274;
37;42737;117697;129556;516454;
38;42932;118441;130183;518264;
39;53312;160800;135390;518548;
40;43853;117637;130694;515792;
41;42476;119311;128199;515753;
42;42503;114936;140247;773490;
43;48080;118929;132968;539712;
44;51380;118324;134408;522895;
45;44404;119354;134602;616457;
46;53204;119467;133016;525521;
47;43289;115941;128668;518588;
48;43279;117147;130334;521729;
49;52442;119522;130619;520505;
50;43551;118321;137320;552269;
51;44361;119221;130666;519460;
52;51570;118693;131341;522003;
53;44039;118896;129776;517899;
54;42794;115040;128930;516952;
55;87338;185074;133022;519080;
56;51484;120989;136191;532488;
57;53183;127686;145409;685355;
58;161705;199280;180573;605761;
59;80427;120423;132274;530824;
60;43911;117948;130019;517280;
61;113135;206274;144541;570073;
62;47347;117484;131468;545038;
63;44936;124538;157629;531146;
64;204649;138453;182737;520009;
65;44458;115726;130878;517252;
66;42617;116875;130440;517734;
67;51700;131022;224798;606520;
68;49055;118879;132637;520206;
69;42764;115172;130437;517784;
70;44118;119768;129321;515763;
71;52193;118836;131647;518784;
72;44175;120959;131917;518951;
73;43173;131899;131101;520421;
74;53925;116937;132198;529806;
75;44206;118255;131075;518539;
76;43515;115863;130366;525118;
77;53033;117849;131342;524184;
78;43814;118346;128246;518339;
79;42832;117159;129561;522952;
80;111467;192950;197410;526114;
81;45535;116047;130617;516683;
82;43454;118197;132829;520451;
83;44728;121112;189281;757013;
84;47121;119008;132026;530513;
85;51975;121397;133108;523196;
86;45034;144523;138595;775621;
87;45861;117057;131595;519070;
88;42782;119817;129051;518422;
89;42578;113512;130465;519653;
90;50533;118758;131923;517553;
91;44027;116073;129341;518057;
92;43147;115209;131140;517308;
93;49223;121754;130077;517421;
94;43200;118687;130413;516148;
95;42353;117356;130546;515087;
96;42296;116088;130455;522209;
97;42466;116013;130148;541344;
98;46015;118881;130636;517753;
99;43221;121502;248322;789959;
100;45877;120643;131707;517043;



Macierz;V=50;gestosc=50
nr;BFS;DFS;Dijkstra;BellmanFord
1;64514;132244;148112;1355973;
2;68177;133085;147144;1368311;
3;61976;130565;147500;1338453;
4;66972;132490;149330;1544709;
5;63881;133031;146269;1325532;
6;62578;130045;149088;1377747;
7;61484;130847;148076;1352804;
8;65749;131596;146745;1376874;
9;63334;133609;147694;1562921;
10;108968;133662;167979;1340004;
11;62902;167081;150704;1332034;
12;63082;134088;149050;1353706;
13;61381;130236;146541;1339614;
14;62668;159102;152587;1357363;
15;62406;135490;145902;1353332;
16;61953;131720;146440;1347373;
17;61829;132799;146665;1388237;
18;62305;131728;145854;1399113;
19;64664;136787;183137;1355140;
20;62958;130192;147423;1343545;
21;68662;156932;150361;1392560;
22;63331;131122;147817;1341030;
23;60767;130643;147457;1333800;
24;84809;133798;148587;1366000;
25;62520;131230;148476;1360081;
26;61241;133719;146278;1355339;
27;61842;129844;148149;1337764;
28;61479;133371;146765;1368352;
29;70287;131260;166424;1376518;
30;62919;128149;142424;1318417;
31;60507;130357;144686;1332909;
32;68045;130751;144550;1302513;
33;61617;127635;142677;1302771;
34;61896;127557;145803;1300891;
35;60528;127054;143821;1300722;
36;60343;126814;143221;1324915;
37;60179;128168;142437;1315096;
38;60898;128836;142211;1325502;
39;66804;322115;147848;1335826;
40;61217;128623;143288;1329918;
41;60124;128473;187906;1411079;
42;61337;128013;142877;1308700;
43;143188;171076;144150;1305514;
44;61395;131074;144472;1324442;
45;106926;248159;261761;1635201;
46;94582;250388;232706;1359746;
47;115481;267961;188204;1343671;
48;61339;130492;206981;1511029;
49;65339;126022;144652;1337330;
50;63235;409078;362492;1688050;
51;65308;129181;145112;1302626;
52;60639;128471;143164;1322205;
53;238933;341157;353649;1408042;
54;62919;132594;198674;1412524;
55;66179;244593;146784;1335679;
56;61868;127650;143626;1312157;
57;61169;130907;142702;1409379;
58;65976;191293;148119;1321349;
59;63463;132455;147225;1410894;
60;63842;133031;149007;1353121;
61;61779;132527;146884;1341762;
62;61864;130664;146958;1356706;
63;63280;130940;146588;1396122;
64;68021;133589;149853;1365682;
65;63516;131314;148340;1329194;
66;61996;132836;148254;1341680;
67;62174;132984;147833;1329653;
68;67419;131412;148886;1430263;
69;63619;133100;148916;1347104;
70;61190;131779;146594;1378113;
71;61974;132005;147483;1323127;
72;62058;129805;146209;1342455;
73;61557;132181;144752;1342974;
74;62471;131304;148292;1475371;
75;67137;133811;147811;1363263;
76;62369;131269;149216;1376472;
77;61732;131042;146987;1350938;
78;67265;164643;151839;1428488;
79;63511;132953;148960;1347620;
80;65504;131512;148088;1388613;
81;68947;134409;205091;1348274;
82;66004;133373;149526;1350199;
83;62521;130096;148932;1343338;
84;61805;134161;145992;1364006;
85;65109;131855;148404;1457269;
86;63913;134224;147216;1352809;
87;61979;131593;146754;1353680;
88;67433;129541;150286;1394939;
89;62145;130067;148119;1337492;
90;60616;129327;143166;1302526;
91;60620;127801;144039;1318438;
92;60140;130121;145024;1410152;
93;62285;128553;144297;1321568;
94;60611;128232;145540;1342511;
95;60483;126830;144061;1327716;
96;68904;131285;145704;1306634;
97;60549;129453;143836;1368456;
98;62728;132295;144212;1413000;
99;65154;128525;146278;1294866;
100;65013;130686;145104;1311613;



Lista;V=50;gestosc=75
nr;BFS;DFS;Dijkstra;BellmanFord
1;58888;163393;130229;707039;
2;50703;162234;129717;706826;
3;54761;164552;129152;706354;
4;51015;163521;131995;727182;
5;53029;164405;165191;769875;
6;58074;164976;131651;703055;
7;56675;164360;133161;862916;
8;52779;163305;131417;707275;
9;49663;161879;130851;706387;
10;49712;162749;129194;706602;
11;49734;161698;128251;705968;
12;49472;205621;250274;706792;
13;49782;160934;130461;709004;
14;49474;160032;127662;933743;
15;55779;162052;130486;703707;
16;55717;161685;252358;707929;
17;52845;161317;197912;718939;
18;50436;162496;129478;838706;
19;52091;162542;129938;707767;
20;50100;161296;129466;821071;
21;52397;160741;131929;726430;
22;50210;160758;129603;725372;
23;55067;161958;134110;725086;
24;57067;164474;173830;918707;
25;57780;165098;163222;932077;
26;56623;163666;130979;721465;
27;51660;163159;130540;706674;
28;49789;161579;130058;706310;
29;56347;163130;133392;821984;
30;56403;161873;135214;812335;
31;53234;163132;129131;707315;
32;58244;164846;131895;1102216;
33;53868;161651;130341;773248;
34;56175;166797;131238;725870;
35;56244;162959;130336;707295;
36;50227;162083;171983;1008272;
37;61577;215682;160054;1254740;
38;123930;581557;177412;770996;
39;52155;158994;130983;724272;
40;52167;162205;131903;891839;
41;58974;168394;139601;808453;
42;68925;175634;140545;794628;
43;54164;166888;133257;748094;
44;51652;166527;132442;748069;
45;51367;185970;138961;841950;
46;60573;168577;136081;722410;
47;52037;165125;132447;749365;
48;55911;168712;136236;827486;
49;62404;167027;137458;779312;
50;59293;164623;134798;735086;
51;51649;165183;134042;749386;
52;53064;165284;133867;744916;
53;51056;167263;133425;744283;
54;57773;167099;135049;740153;
55;51825;164028;135177;723157;
56;51443;235431;136848;739681;
57;57996;167010;135965;728558;
58;59428;168035;137085;819067;
59;56876;165767;133637;724456;
60;51444;167313;133924;751100;
61;52933;168771;134219;744594;
62;51362;166658;133170;797686;
63;52558;166764;133652;744613;
64;50987;167166;133663;750265;
65;53939;246730;168853;766724;
66;52842;167475;133752;745750;
67;51548;164888;133236;799011;
68;57083;167414;135740;734413;
69;51973;167308;135140;723176;
70;52114;166654;135381;730284;
71;56227;168129;133857;720483;
72;51511;166710;135009;725174;
73;56147;165438;134324;766777;
74;56433;168114;135167;724467;
75;51672;166940;134353;747531;
76;52054;167293;134704;861006;
77;54466;166164;132908;724586;
78;51951;165318;134786;723359;
79;56239;165878;136208;724325;
80;52314;166177;134284;762127;
81;51362;164422;134810;763657;
82;59673;166390;136071;726761;
83;53040;168158;135061;725920;
84;52406;165315;136978;726675;
85;56327;163685;134709;799514;
86;53088;164425;133062;726016;
87;50773;166261;131806;726666;
88;52974;170067;137029;730334;
89;51685;165482;132226;724201;
90;51394;214678;137321;726715;
91;58776;163387;130734;714772;
92;51497;161267;132355;719780;
93;51536;163618;131280;787835;
94;50956;162872;134295;710112;
95;56959;163774;131473;838545;
96;51984;163722;133104;709190;
97;49946;163687;129987;708056;
98;50270;160497;128551;707113;
99;55336;162748;130888;736503;
100;50798;161762;129631;705279;



Macierz;V=50;gestosc=75
nr;BFS;DFS;Dijkstra;BellmanFord
1;70324;172860;147197;1335471;
2;61079;165330;139133;1207521;
3;151747;208829;140461;1206716;
4;64557;165690;181624;1255533;
5;62301;166190;138244;1215086;
6;59598;164576;137906;1296070;
7;65149;163302;139587;1207323;
8;59926;166599;137536;1214667;
9;59998;166278;138066;1216010;
10;59531;164369;139090;1204336;
11;67798;165146;141010;1499244;
12;63115;166780;138091;1253358;
13;64968;166466;138743;1251245;
14;63897;163882;141426;1508828;
15;61064;163895;138105;1226997;
16;59519;211324;250294;1213566;
17;61000;165915;138405;1212855;
18;59759;163518;138151;1206380;
19;59615;163749;135962;1208816;
20;65286;165796;140865;1222497;
21;59406;165024;138334;1205333;
22;64788;164255;139608;1239226;
23;59821;167189;136306;1206549;
24;60572;162617;138569;1208642;
25;59541;165291;137719;1195767;
26;64517;165650;138297;1190128;
27;60091;164595;136567;1203770;
28;66089;165149;138914;1218280;
29;63306;165912;139670;1409873;
30;65893;169094;141349;1203268;
31;59882;165014;138190;1289419;
32;61077;164793;137439;1206842;
33;59854;164970;332713;1318147;
34;98690;208783;177027;1395014;
35;71519;163672;139530;1208362;
36;66787;216005;138027;1203816;
37;113668;167795;138921;1188322;
38;60152;165439;138967;1749467;
39;71919;166809;140432;1208713;
40;59628;246566;139111;1215287;
41;59646;166046;138176;1202751;
42;68105;161546;138168;1474277;
43;61374;166523;138362;1218488;
44;110870;353132;140688;1306855;
45;63753;165720;140171;1288459;
46;61584;164534;139026;1203078;
47;60425;167145;139642;1209500;
48;59670;164595;139629;1218056;
49;59770;162655;142555;1279126;
50;61771;165872;137897;1213124;
51;59342;165110;137444;1320456;
52;63939;164005;139274;1557129;
53;61782;271179;201388;1215580;
54;60807;166781;138898;1200246;
55;154037;393629;352930;1353879;
56;60752;165900;139592;1198901;
57;65378;165143;139430;1238945;
58;61015;163105;140016;1209875;
59;66142;165539;140057;1222835;
60;62599;164290;140274;1503035;
61;66033;162558;138044;1213055;
62;61427;164526;180405;1606004;
63;61416;164463;137228;1207831;
64;135994;363665;234836;1221473;
65;60452;165794;138278;1197606;
66;65891;163288;139245;1208270;
67;64901;165315;140451;1200289;
68;68165;166650;139915;1208151;
69;60374;165733;139034;1620025;
70;62366;165872;138330;1309266;
71;60905;274155;276200;1533809;
72;64851;166842;140331;1201663;
73;67820;166917;140218;1214910;
74;64754;168138;140738;1342837;
75;66747;165382;141053;1218117;
76;65963;166707;139380;1427001;
77;135501;167640;139314;1202409;
78;60663;212543;324810;1489471;
79;65999;166047;148042;1275003;
80;69850;165187;290682;1216485;
81;64345;166549;150137;1505601;
82;66143;172735;151166;1258980;
83;64128;169281;143370;1261598;
84;71626;171500;144365;1247835;
85;63857;168523;196375;1262260;
86;65987;169254;143243;1241368;
87;68988;198100;144680;1286908;
88;67791;171212;142115;1304653;
89;144208;296288;196093;1413319;
90;69535;168212;162992;1433855;
91;73144;184040;300844;1562321;
92;76002;193079;165168;1408805;
93;70051;191144;150019;1427391;
94;96782;172094;143741;1553991;
95;69506;169160;158133;1343335;
96;78534;194280;162685;1477394;
97;70645;194446;161880;1413209;
98;65377;177571;147129;1287210;
99;67617;167141;148424;1277665;
100;62341;166371;140642;1239216;



Lista;V=50;gestosc=100
nr;BFS;DFS;Dijkstra;BellmanFord
1;72700;218643;138738;957773;
2;62787;217704;137130;949770;
3;67433;218856;139992;967385;
4;66471;217899;157625;1074945;
5;65873;217245;137807;968093;
6;68473;217055;137131;942151;
7;69857;218394;139264;987958;
8;65945;219251;142869;980749;
9;68461;218236;139226;1014703;
10;65321;213445;136403;986611;
11;59171;210357;134477;968707;
12;228046;402822;311308;1077118;
13;72129;212818;136213;985653;
14;147616;264896;175276;1014794;
15;126701;438098;195939;1494929;
16;63553;212542;138133;1374064;
17;65199;213857;137072;1063360;
18;131074;220275;138317;954636;
19;69533;223600;180627;942364;
20;69272;217999;176285;1202889;
21;73230;237340;144157;1006781;
22;70992;218523;140499;966678;
23;71588;246434;142530;966672;
24;70629;218446;137952;946967;
25;71574;219735;143177;980539;
26;68138;218603;139634;1006805;
27;70588;218177;139913;960143;
28;71932;235888;197802;1150046;
29;66921;217475;138952;935283;
30;66800;218367;139404;1057943;
31;71104;218193;137084;981794;
32;236779;264023;143165;993770;
33;71762;219036;142071;1053079;
34;70512;219664;139183;968688;
35;66989;218254;139891;959232;
36;70221;223080;144794;1303595;
37;68929;216939;140059;938307;
38;83583;255794;164857;1137017;
39;80445;249044;204804;1168796;
40;85283;250741;158378;1081821;
41;71424;217589;139144;953117;
42;68920;218153;141735;948889;
43;67256;217669;139415;955745;
44;70634;219214;146710;961534;
45;66954;218275;140649;1015674;
46;62086;217913;138041;939544;
47;67415;220117;155270;942306;
48;61000;212784;136012;936520;
49;63811;212483;136647;927907;
50;67651;213098;138094;992195;
51;69519;214088;136330;950739;
52;71049;214146;138112;950686;
53;71993;213289;137296;985940;
54;60506;211350;135811;985690;
55;67936;213114;139281;910493;
56;68523;212556;136019;960865;
57;69954;214480;139073;1001152;
58;65889;214084;136629;1078051;
59;71256;212856;135021;941863;
60;74169;214874;136851;948443;
61;70849;212243;135581;946923;
62;68914;213026;135858;944396;
63;70309;212992;136129;929289;
64;71492;221701;142242;939192;
65;72853;218614;142102;1039441;
66;70574;254566;171737;1243936;
67;71656;218542;197439;963318;
68;70658;218220;143098;959206;
69;71511;224128;142266;1109609;
70;71528;217920;137765;935097;
71;71820;288228;147375;981074;
72;67776;218882;143750;987525;
73;90759;405698;179492;970635;
74;71217;222568;141881;959629;
75;70807;218516;139838;951051;
76;85623;217713;137920;1047981;
77;70851;282042;177097;1000302;
78;71317;218835;140571;978527;
79;65910;217463;136361;1038511;
80;70422;238428;141749;940023;
81;68114;212509;136229;967059;
82;68292;213724;136015;913142;
83;160239;344254;365835;934108;
84;66463;213878;139589;984943;
85;67251;213319;136838;928435;
86;137001;333036;139568;933489;
87;64264;212683;138267;962189;
88;69901;213065;135734;1106617;
89;69393;213056;136702;917491;
90;68059;211703;137542;1091383;
91;69355;213338;136348;927770;
92;66358;212499;136728;1132009;
93;68519;213993;138404;1020560;
94;68410;213279;137513;928592;
95;65626;391822;329406;1244209;
96;65897;286987;168395;935263;
97;69682;218293;140324;928127;
98;75213;218459;143204;941700;
99;70226;219506;139646;1000021;
100;73599;219414;143284;1028355;



Macierz;V=50;gestosc=100
nr;BFS;DFS;Dijkstra;BellmanFord
1;68248;204687;171987;1059931;
2;68483;205007;135748;1053956;
3;63561;204213;141453;1219291;
4;67352;206303;165190;1206868;
5;68875;204698;136172;1051708;
6;69472;206781;135522;1053974;
7;68295;209950;135975;1052590;
8;68897;204626;135893;1052368;
9;70308;204309;134657;1062454;
10;122560;257595;136722;1057193;
11;65351;203941;134126;1052444;
12;69069;205136;135324;1051716;
13;68994;204790;136858;1056377;
14;65413;237707;141657;1205281;
15;63430;259582;136495;1085766;
16;67557;206006;136534;1051281;
17;67237;221488;134262;1054445;
18;68828;203293;135743;1091611;
19;65721;204559;134538;1051295;
20;64948;206310;136952;1193261;
21;67325;204936;134700;1051830;
22;65139;204377;134018;1051545;
23;57944;203152;134210;1052018;
24;66882;205503;135386;1052331;
25;63014;203874;135762;1051449;
26;62467;205826;135996;1057273;
27;65480;204995;134279;1050189;
28;62962;203515;133840;1051204;
29;61684;203239;134856;1058200;
30;64780;201060;132330;1025307;
31;60423;199593;130816;1027122;
32;60866;199481;132609;1071951;
33;66118;199877;132760;1025458;
34;61781;198726;130383;1114942;
35;63232;450346;164791;1102057;
36;63010;198485;133093;1026949;
37;61155;201144;132645;1027184;
38;64187;199201;131078;1030733;
39;64690;199329;131648;1026279;
40;64229;199670;132193;1025369;
41;63717;198569;131071;1064424;
42;64801;200703;131993;1027041;
43;59540;248743;191042;1035620;
44;62558;199616;132024;1025777;
45;63314;202013;132057;1024938;
46;64358;199128;131394;1089799;
47;68160;199936;176378;1110863;
48;65754;199515;133150;1182783;
49;65277;199652;134303;1036601;
50;73280;278254;190310;1295267;
51;79435;250500;160964;1242381;
52;77044;233146;155414;1344219;
53;66088;203788;136270;1141706;
54;65882;203810;136784;1090406;
55;69649;204135;136400;1060294;
56;69454;204110;160047;1102710;
57;59511;203970;134394;1090165;
58;81491;205795;137518;1069435;
59;69516;205050;135277;1051098;
60;69284;205149;134474;1054458;
61;66872;204528;147062;1093661;
62;114580;210132;136272;1052420;
63;66093;204339;135898;1051984;
64;66313;204943;137724;1120311;
65;64746;204741;136304;1050731;
66;65994;205249;136300;1051961;
67;68725;206384;134736;1051496;
68;58398;205507;134540;1089536;
69;68427;205310;134258;1050922;
70;65761;197853;131794;1142402;
71;66967;200376;131392;1026305;
72;110539;200029;131759;1031576;
73;65055;199010;130642;1026893;
74;68793;200368;132702;1174095;
75;67416;199232;131019;1026319;
76;67652;198872;129472;1140653;
77;69130;204062;135060;1057115;
78;68917;243867;136482;1078426;
79;67427;205257;138069;1274631;
80;68553;202965;137538;1053320;
81;69914;205509;135998;1201457;
82;67147;229174;138903;1157900;
83;65932;205043;135785;1197881;
84;69416;205223;135990;1056316;
85;70862;271548;139525;1055981;
86;69657;205050;135159;1238571;
87;67945;205224;134479;1093786;
88;68956;205393;135282;1054285;
89;70472;204475;182383;1142607;
90;69714;205731;136241;1317180;
91;68463;204954;135609;1051860;
92;68677;203232;134566;1050654;
93;66919;204298;136043;1059714;
94;67399;207898;163903;1245298;
95;69832;205118;135214;1051947;
96;67552;209329;182087;1233077;
97;66912;203436;135058;1050970;
98;70042;206518;134321;1078252;
99;67806;204635;135404;1051101;
100;70181;204631;134435;1053438;



Lista;V=100;gestosc=25
nr;BFS;DFS;Dijkstra;BellmanFord
1;92541;239945;360882;2251951;
2;87073;247077;389783;2408175;
3;85714;231367;344070;2173617;
4;87715;233342;339751;1961545;
5;115092;265910;347652;2015309;
6;82752;235813;335473;2127157;
7;88723;268948;345328;2047415;
8;93554;238725;346635;2047368;
9;87828;235280;348715;2081429;
10;81804;234590;343438;2181566;
11;89987;233478;340003;1943713;
12;88145;234744;343522;2058355;
13;92057;434321;417802;2161512;
14;88156;241693;375193;2203267;
15;83549;233651;339784;1945021;
16;93448;266317;347303;2116130;
17;218016;438826;435755;2063850;
18;91357;241269;348321;2165576;
19;93389;234015;346563;2192290;
20;100150;277563;378273;2150796;
21;88504;237000;344757;2092594;
22;87679;236335;344690;2176609;
23;83623;228371;343029;2009895;
24;129611;241380;342878;2107219;
25;92407;241034;340556;1991298;
26;81687;229696;346332;2105114;
27;87633;236542;342161;2005810;
28;90402;240646;341618;2028506;
29;91600;239586;343993;2071644;
30;93429;241298;368557;2223750;
31;88859;238567;345436;2014185;
32;91004;231047;343673;2148601;
33;92145;243338;346095;2104187;
34;85587;236884;390562;2342113;
35;88277;242130;361711;2054636;
36;88546;233625;338097;1963777;
37;91243;240429;343809;1990858;
38;86651;236512;340727;2258787;
39;83514;235590;341086;1960578;
40;91282;237913;360191;1969581;
41;90050;237030;343431;1964576;
42;80825;233014;339514;2123485;
43;88457;241551;342314;1951178;
44;88975;237134;344062;1989361;
45;81387;260015;652362;2030017;
46;88089;235698;347451;2162291;
47;85959;239906;341592;2076674;
48;87746;238512;347872;1998960;
49;91527;346954;454416;2014825;
50;84575;230571;341409;1923483;
51;110619;266833;392733;1975988;
52;87827;239468;344197;2016479;
53;81277;234368;342109;2148209;
54;83405;236893;341381;1942814;
55;93612;233601;350517;2139062;
56;89520;234482;343243;2147859;
57;86879;232232;345889;2238803;
58;84695;236571;345024;2084647;
59;87847;240379;345384;1971201;
60;84149;449550;350811;1942176;
61;89013;238511;343575;2216015;
62;87387;243387;389827;2098535;
63;91819;239118;341514;2030846;
64;87695;363826;388361;2062586;
65;82391;235472;339691;2202611;
66;84962;236404;346919;2093053;
67;91364;235344;342291;2032272;
68;90774;274929;546154;1993025;
69;86458;240852;346464;2308939;
70;82590;237179;338350;1923348;
71;87714;235082;340989;1985203;
72;82221;235841;341040;2124223;
73;160481;251461;351444;2167767;
74;89192;233375;343657;2079229;
75;87737;238493;338114;2004652;
76;81550;233239;338850;1946887;
77;81101;234818;336736;1944732;
78;80370;228552;338772;1944768;
79;95526;275034;523759;2033156;
80;84598;234097;340077;1968335;
81;81148;234332;342691;1954376;
82;86245;237802;343238;2045381;
83;80910;236488;343526;1953184;
84;80976;233256;341383;1990076;
85;89132;233614;362089;2012830;
86;88483;266479;346081;2069612;
87;81684;241249;336598;1996227;
88;87301;239016;340915;2104175;
89;82518;235035;340521;2127845;
90;81710;240078;384335;2061112;
91;89896;238721;423189;1923893;
92;82836;234392;338739;1924572;
93;101836;235345;338029;1927966;
94;81599;232731;339849;1970062;
95;81096;227395;337444;1972560;
96;87591;240009;373830;2063152;
97;83009;237791;344393;2061497;
98;84699;236585;346575;2080571;
99;83060;234681;339776;2080209;
100;110752;310745;498165;2089051;



Macierz;V=100;gestosc=25
nr;BFS;DFS;Dijkstra;BellmanFord
1;144707;286792;389577;7882249;
2;200923;331158;381157;7433317;
3;135096;273115;440080;7712085;
4;136668;337210;389224;7869102;
5;141163;272551;528754;7765307;
6;234119;276493;384905;7579750;
7;190934;272683;379460;7917030;
8;160523;500781;523491;8946063;
9;145842;278569;470162;8285659;
10;149867;285580;510477;8121803;
11;144619;277916;391717;7923355;
12;141890;281976;391214;7888225;
13;140489;278583;388277;7543557;
14;278231;436093;390603;7667393;
15;139284;275688;386840;7715604;
16;140181;278637;422261;7841054;
17;144020;280837;435743;7567292;
18;142212;279871;392945;7754365;
19;139904;281444;390056;7779364;
20;138537;279491;386008;7864813;
21;145836;280315;389356;7747308;
22;140277;281830;391585;7669781;
23;144710;280245;393098;7614553;
24;145388;283116;394654;7789722;
25;138833;276720;387076;7518727;
26;146303;280348;393399;7726760;
27;139021;275159;380112;7355013;
28;133998;268739;380546;7338121;
29;133577;275106;379835;7528779;
30;140310;273749;380257;8070752;
31;137077;271201;376318;7499051;
32;136164;271449;379216;7573079;
33;139439;276686;558622;7551128;
34;135397;273451;377804;7867371;
35;136440;275954;526205;7590765;
36;135558;279143;380767;7644426;
37;139024;272378;381050;7593917;
38;139750;274179;382015;7672205;
39;203657;339768;380853;7845022;
40;138399;318439;379561;7698854;
41;135809;270725;434325;7917048;
42;136111;269633;378195;7486894;
43;140153;270273;381786;7475252;
44;139037;270817;482265;7688496;
45;140039;285805;385780;7564670;
46;143447;278606;387161;7605020;
47;144653;300654;417739;7601477;
48;142073;282670;392397;7551284;
49;140121;280835;394150;7750412;
50;144975;281498;389046;7797338;
51;141132;278407;391222;7584235;
52;209008;395896;392668;7945405;
53;178259;277977;390555;7646612;
54;140388;273740;389568;7717709;
55;139606;284865;391081;7868500;
56;142134;277648;394512;7584869;
57;138664;283760;387866;7677549;
58;140107;278042;389901;7840622;
59;142563;281024;393159;7595827;
60;138130;276873;388750;7747024;
61;142987;276345;389635;7758287;
62;143407;279668;388985;7552940;
63;141584;448959;396618;7563792;
64;142565;277580;425580;7747201;
65;142902;278317;386839;7572271;
66;147159;280560;387707;7546386;
67;143620;282820;386372;7683213;
68;144165;279943;390749;7545091;
